Universities,UniversitiesWD,Country,UniversitiesWD.QID,Country.QID
Université de Montréal,University of Montreal,Canada,Q392189,Q16
Université de Montréal,University of Montreal,Canada,Q392189,Q16
University of Santa Catarina State,Universidade do Estado de Santa Catarina,Brazil,Q3551702,Q155
Université Cergy-Pontoise,Cergy-Pontoise University,France,Q2496006,Q142
The University of Texas at Austin,University of Texas at Austin,United States of America,Q49213,Q30
Carnegie Mellon University,Carnegie Mellon University,United States of America,Q190080,Q30
Université de Montréal,University of Montreal,Canada,Q392189,Q16
University of Nebraska at Omaha,University of Nebraska Omaha,United States of America,Q2495890,Q30
University of Louisiana,Tulane University,United States of America,Q1193547,Q30
Université Paris 13,Université Sorbonne Paris Nord,France,Q1780212,Q142
Université du Québec à Montréal,Université du Québec à Montréal,Canada,Q1634522,Q16
ENS Cachan,École normale supérieure Paris-Saclay,France,Q273604,Q142
North Carolina State University,North Carolina State University,United States of America,Q1132346,Q30
Miami University,Miami University,United States of America,Q590643,Q30
California State University,California State University,United States of America,Q815352,Q30
Concordia University,Concordia University,Canada,Q326342,Q16
Rice University,Rice University,United States of America,Q842909,Q30
University of Wisconsin-Milwaukee,University of Wisconsin–Milwaukee,United States of America,Q1755318,Q30
Université du Québec à Montréal,Université du Québec à Montréal,Canada,Q1634522,Q16
University of Jyväskylä,University of Jyväskylä,Finland,Q578326,Q33
Indiana University,Indiana University Bloomington,United States of America,Q1079140,Q30
Institute of Transpersonal Psychology,Sofia University,United States of America,Q6040956,Q30
EHESS,School for Advanced Studies in the Social Sciences,France,Q273518,Q142
Université du Québec à Montréal,Université du Québec à Montréal,Canada,Q1634522,Q16
Université Paris VII,Paris Diderot University,France,Q1235608,Q142
Institut d'Etudes Politiques de Lyon 2,Institut d'études politiques de Lyon,France,Q2253344,Q142
New York University,New York University,United States of America,Q49210,Q30
EHESS,School for Advanced Studies in the Social Sciences,France,Q273518,Q142
University of Missouri-Columbia,University of Missouri,United States of America,Q579968,Q30
Carleton University,Carleton University,Canada,Q1041737,Q16
EHESS,School for Advanced Studies in the Social Sciences,France,Q273518,Q142
Humboldt State University,"California State Polytechnic University, Humboldt",United States of America,Q624560,Q30
Southern Illinois University at Carbondale,Southern Illinois University Carbondale,United States of America,Q1472347,Q30
San Jose State University,San José State University,United States of America,Q498526,Q30
Washington University in St. Louis,Washington University in St. Louis,United States of America,Q777403,Q30
North Carolina State University,North Carolina State University,United States of America,Q1132346,Q30
University of North Texas,University of North Texas,United States of America,Q860527,Q30
University of Louisville,University of Louisville,United States of America,Q1317143,Q30
Concordia University,Concordia University,Canada,Q326342,Q16
Université de Toulouse Le Mirail,University Toulouse - Jean Jaurès,France,Q1933558,Q142
Universidade federal de Pernambuco,Federal University of Pernambuco,Brazil,Q2322256,Q155
Indiana University,Indiana University Bloomington,United States of America,Q1079140,Q30
Rutgers University,Rutgers University,United States of America,Q499451,Q30
U Paris X,Paris Nanterre University,France,Q1394262,Q142
U Paris XIII,Université Sorbonne Paris Nord,France,Q1780212,Q142
Indiana University,Indiana University Bloomington,United States of America,Q1079140,Q30
Auckland University of Technology,Auckland University of Technology,New Zealand,Q758659,Q664
Universidade Federal do Paraná,Universidade Federal do Paraná,Brazil,Q1232831,Q155
Université de Paris 8,Paris 8 University,France,Q1194988,Q142
Ball State University,Ball State University,United States of America,Q805122,Q30
East Tennessee State University,East Tennessee State University,United States of America,Q634669,Q30
Chestnut Hill College,Chestnut Hill College,United States of America,Q2962876,Q30
Université de Rouen,University of Rouen,France,Q494247,Q142
Pacifica Graduate Institute,Pacifica Graduate Institute,United States of America,Q7122801,Q30
"University of California, Los Angeles","University of California, Los Angeles",United States of America,Q174710,Q30
Oklahoma State University,Oklahoma State University–Stillwater,United States of America,Q749718,Q30
Walden University,Walden University,United States of America,Q7961485,Q30
University of New Brunswick,University of New Brunswick,Canada,Q1112515,Q16
University of Vienna.  Historisch-Kulturwissenschaftliche Fakultät,University of Vienna,Austria,Q165980,Q40
Universidade Estadual Paulista,São Paulo State University,Brazil,Q1817137,Q155
University of Boras,University of Borås,Sweden,Q1622088,Q34
Università Ca’ Foscari di Venezia,Ca' Foscari University of Venice,Italy,Q1546906,Q38
University of the Witwatersrand,University of the Witwatersrand,South Africa,Q534643,Q258
Northern Arizona University,Northern Arizona University,United States of America,Q139901,Q30
Universidade Estadual de Londrina,State University of Londrina,Brazil,Q7894364,Q155
Universidad de Salamanca,University of Salamanca,Spain,Q308963,Q29
The University of Texas at Dallas,University of Texas at Dallas,United States of America,Q1781394,Q30
Université Nancy 1,Henri Poincaré University,France,Q2033673,Q142
Université Paris V,Paris Descartes University,France,Q1155944,Q142
Université Paris V,Paris Descartes University,France,Q1155944,Q142
Texas A&M University,Texas A&M University,United States of America,Q49212,Q30
Université d'Ottawa,University of Ottawa,Canada,Q627969,Q16
Pontifícia Universidade Católica do Rio de Janeiro,Pontifical Catholic University of Rio de Janeiro,Brazil,Q1857293,Q155
Bowling Green State University,Bowling Green State University,United States of America,Q895457,Q30
California Institute of Integral Studies,California Institute of Integral Studies,United States of America,Q3444680,Q30
St. John's University,St. John's University,United States of America,Q1138374,Q30
The University of Alabama at Birmingham,University of Alabama at Birmingham,United States of America,Q1472663,Q30
University of Wyoming,University of Wyoming,United States of America,Q1326975,Q30
Bowling Green State University,Bowling Green State University,United States of America,Q895457,Q30
University of Tampere - The School of Modern Languages and Translation Studies,University of Tampere,Finland,Q1544881,Q33
"California State  University, San Bernardino","California State University, San Bernardino",United States of America,Q1026944,Q30
École du Louvre,École du Louvre,France,Q273534,Q142
Brock University,Brock University,Canada,Q923624,Q16
Alliant International University,Alliant International University,United States of America,Q1066989,Q30
University of Northern Iowa,University of Northern Iowa,United States of America,Q1781094,Q30
Haute école de gestion de Genève,Haute école de gestion de Genève,Switzerland,Q1391281,Q39
ENSSIB,École nationale supérieure des sciences de l'information et des bibliothèques,France,Q2791269,Q142
"UFR ALLSH, département d’anthropologie",Aix-Marseille University,France,Q2302586,Q142
ESPE Nantes - École supérieure du professorat et de l'éducation,Institut national supérieur du professorat et de l'éducation,France,Q3578562,Q142
"Faculté des sciences économiques, sociales, politiques et de communication, Université catholique de Louvain",Université catholique de Louvain,Belgium,Q378134,Q31
Université Grenoble Alpes,Grenoble Alpes University,France,Q945876,Q142
Smith College,Smith College,United States of America,Q49204,Q30
The University of North Caroline at Chapel Hill,University of North Carolina at Chapel Hill,United States of America,Q192334,Q30
Heidelberg U,Heidelberg University,Germany,Q151510,Q183
Université d'Ottawa / University of Ottawa,University of Ottawa,Canada,Q627969,Q16
Concordia University,Concordia University,Canada,Q326342,Q16
Josip Juraj Strossmayer University of Osijek. Faculty of Humanities and Social Sciences. Department of English Language and Literature,University of Osijek,Croatia,Q1708709,Q224
City University of Seattle,City University of Seattle,United States of America,Q5123487,Q30
Malmö University,Malmö University,Sweden,Q977781,Q34
The Florida State University,Florida State University,United States of America,Q861548,Q30
University of Oulu,University of Oulu,Finland,Q1357517,Q33
New York University,New York University,United States of America,Q49210,Q30
University of Massachusetts Amherst,University of Massachusetts Amherst,United States of America,Q15142,Q30
East Tennessee State University,East Tennessee State University,United States of America,Q634669,Q30
Aalto University,Aalto University,Finland,Q300980,Q33
Bowling Green State University,Bowling Green State University,United States of America,Q895457,Q30
Ashford University,University of Arizona Global Campus,United States of America,Q4805015,Q30
UC Santa Cruz,"University of California, Santa Cruz",United States of America,Q1047293,Q30
Western Illinois University,Western Illinois University,United States of America,Q1474005,Q30
Northern Illinois University,Northern Illinois University,United States of America,Q1191344,Q30
Arkansas State University,Arkansas State University,United States of America,Q500131,Q30
Göteborgs universitet,University of Gothenburg,Sweden,Q371522,Q34
Patrick Henry College,Patrick Henry College,United States of America,Q741892,Q30
San Diego State University,San Diego State University,United States of America,Q913861,Q30
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,United States of America,Q192334,Q30
Jagiellonian University in Cracow,Jagiellonian University,Poland,Q189441,Q36
UNIVERSIDADE ESTADUAL PAULISTA,São Paulo State University,Brazil,Q1817137,Q155
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL FACULDADE DE BIBLIOTECONOMIA E COMUNICAÇÃO CURSO DE RELAÇÕES PÚBLICAS,Federal University of Rio Grande do Sul,Brazil,Q766447,Q155
Universitetet i Agder,University of Agder,Norway,Q1470769,Q20
Utrecht University,Utrecht University,Netherlands,Q221653,Q55
Ryerson University,Toronto Metropolitan University,Canada,Q611723,Q16
Nipissing University,Nipissing University,Canada,Q6421119,Q16
University of San Diego,University of San Diego,United States of America,Q262663,Q30
Mount Saint Vincent University,Mount Saint Vincent University,Canada,Q3551457,Q16
St. Stephen’s College,St. Stephen's College,Canada,Q108496680,Q16
Lesley University,Lesley University,United States of America,Q6530549,Q30
University of Calgary,University of Calgary,Canada,Q1067471,Q16
Mills College,Mills College at Northeastern,United States of America,Q638859,Q30
Universidad de Piura,University of Piura,Peru,Q5202348,Q419
"Universität-GH Siegen, Fachbereich Sprach- und Literaturwissenschaften",University of Siegen,Germany,Q504723,Q183
Chapman University,Chapman University,United States of America,Q1805085,Q30
Texas Tech University,Texas Tech University,United States of America,Q1423756,Q30
Virginia Tech,Virginia Tech,United States of America,Q65379,Q30
U Texas at Austin,University of Texas at Austin,United States of America,Q49213,Q30
University of Jyväskylä,University of Jyväskylä,Finland,Q578326,Q33
University of Wyoming,University of Wyoming,United States of America,Q1326975,Q30
